LINESTRING (-70.2237 -17.73754, -70.176 -17.65054)
LINESTRING (-70.176 -17.65054, -70.160799 -17.599467)
LINESTRING (-70.160799 -17.599467, -70.143387 -17.631713)
LINESTRING (-70.143387 -17.631713, -70.153723 -17.6934)
LINESTRING (-70.153723 -17.6934, -70.189584 -17.737269)
LINESTRING (-70.189584 -17.737269, -70.193303 -17.775637)
LINESTRING (-69.875748 -17.58484, -69.88282 -17.647682)
LINESTRING (-69.88282 -17.647682, -69.926098 -17.700254)
LINESTRING (-69.926098 -17.700254, -69.984318 -17.730594)
LINESTRING (-69.984318 -17.730594, -69.972537 -17.764207)
LINESTRING (-69.972537 -17.764207, -70.01085 -17.813408)
LINESTRING (-70.01085 -17.813408, -69.99768 -17.86292)
LINESTRING (-69.99768 -17.86292, -69.96343 -17.85435)
LINESTRING (-69.96343 -17.85435, -69.932168 -17.926121)
LINESTRING (-69.932168 -17.926121, -69.964939 -17.929644)
LINESTRING (-69.964939 -17.929644, -70.049473 -17.972887)
LINESTRING (-70.049473 -17.972887, -70.092014 -17.980258)
LINESTRING (-70.092014 -17.980258, -70.075557 -17.913762)
LINESTRING (-70.075557 -17.913762, -70.122555 -17.904014)
LINESTRING (-70.122555 -17.904014, -70.151346 -17.930811)
LINESTRING (-70.151346 -17.930811, -70.184225 -17.914365)
LINESTRING (-70.184225 -17.914365, -70.150566 -17.831773)
LINESTRING (-70.150566 -17.831773, -70.106137 -17.784918)
LINESTRING (-70.106137 -17.784918, -70.072268 -17.710809)
LINESTRING (-70.072268 -17.710809, -70.01466 -17.62641)
LINESTRING (-70.01466 -17.62641, -69.983225 -17.597141)
LINESTRING (-69.983225 -17.597141, -69.875748 -17.58484)
LINESTRING (-70.02063 -17.5294, -70.021576 -17.563654)
LINESTRING (-70.021576 -17.563654, -70.07151 -17.594068)
LINESTRING (-70.07151 -17.594068, -70.112078 -17.676549)
LINESTRING (-70.112078 -17.676549, -70.193303 -17.775637)
LINESTRING (-70.193303 -17.775637, -70.189584 -17.737269)
LINESTRING (-70.189584 -17.737269, -70.153723 -17.6934)
LINESTRING (-70.153723 -17.6934, -70.143387 -17.631713)
LINESTRING (-70.143387 -17.631713, -70.160799 -17.599467)
LINESTRING (-70.160799 -17.599467, -70.169974 -17.588187)
LINESTRING (-70.169974 -17.588187, -70.132934 -17.546246)
LINESTRING (-70.132934 -17.546246, -70.075867 -17.544285)
LINESTRING (-70.075867 -17.544285, -70.073523 -17.518734)
LINESTRING (-70.073523 -17.518734, -70.02063 -17.5294)
LINESTRING (-69.875748 -17.58484, -69.983225 -17.597141)
LINESTRING (-69.983225 -17.597141, -70.01466 -17.62641)
LINESTRING (-70.01466 -17.62641, -70.072268 -17.710809)
LINESTRING (-70.072268 -17.710809, -70.108998 -17.759295)
LINESTRING (-70.108998 -17.759295, -70.190234 -17.775939)
LINESTRING (-70.190234 -17.775939, -70.193303 -17.775637)
LINESTRING (-70.193303 -17.775637, -70.112078 -17.676549)
LINESTRING (-70.112078 -17.676549, -70.07151 -17.594068)
LINESTRING (-70.07151 -17.594068, -70.021576 -17.563654)
LINESTRING (-70.021576 -17.563654, -70.02063 -17.5294)
LINESTRING (-70.02063 -17.5294, -69.98915 -17.54203)
LINESTRING (-69.98915 -17.54203, -69.849061 -17.497387)
LINESTRING (-69.849061 -17.497387, -69.875748 -17.58484)
LINESTRING (-69.849799 -17.489418, -69.849061 -17.497387)
LINESTRING (-69.849061 -17.497387, -69.98915 -17.54203)
LINESTRING (-69.98915 -17.54203, -70.02063 -17.5294)
LINESTRING (-70.02063 -17.5294, -70.073523 -17.518734)
LINESTRING (-70.073523 -17.518734, -70.066609 -17.505564)
LINESTRING (-70.066609 -17.505564, -69.942631 -17.463666)
